title,platform,release_date,meta_score,user_score,esrb_rating,developers,genres
The Legend of Zelda: Ocarina of Time,Nintendo 64,1998-11-23,99.0,9.1,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
Metroid Prime,GameCube,2002-11-17,97.0,9.2,T,['Retro Studios'],"['Action', 'Shooter', 'First-Person', 'Sci-Fi']"
Perfect Dark,Nintendo 64,2000-05-22,97.0,8.9,M,['Rare Ltd.'],"['Action', 'Shooter', 'First-Person', 'Sci-Fi']"
Super Mario Galaxy,Wii,2007-11-12,97.0,9.0,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '3D', '3D']"
Super Mario Galaxy 2,Wii,2010-05-23,97.0,9.1,E,['Nintendo EAD Tokyo '],"['Action', 'Platformer', 'Platformer', '3D', '3D']"
Super Mario Odyssey,Nintendo Switch,2017-10-27,97.0,8.9,E10+,['Nintendo'],"['Action', 'Platformer', '3D']"
The Legend of Zelda: Breath of the Wild,Nintendo Switch,2017-03-03,97.0,8.7,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
GoldenEye 007,Nintendo 64,1997-08-25,96.0,9.0,T,['Rare Ltd.'],"['Action', 'Shooter', 'First-Person', 'Modern']"
The Legend of Zelda: Breath of the Wild,Wii U,2017-03-03,96.0,8.2,E10+,['Nintendo'],"['Fantasy', 'Fantasy', 'Action Adventure', 'Open-World']"
The Legend of Zelda: The Wind Waker,GameCube,2003-03-24,96.0,9.0,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: Twilight Princess,GameCube,2006-12-11,96.0,8.9,T,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda Collector's Edition,GameCube,2003-11-17,95.0,9.0,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: A Link to the Past,Game Boy Advance,2002-12-03,95.0,9.0,E,['Capcom'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: Majora's Mask,Nintendo 64,2000-10-25,95.0,9.2,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: Twilight Princess,Wii,2006-11-19,95.0,8.9,T,['Nintendo'],"['Action Adventure', 'Fantasy', 'General', 'Fantasy', 'Open-World']"
Super Mario 64,Nintendo 64,1996-09-26,94.0,9.2,E,['Nintendo'],"['Action', 'Platformer', '3D']"
Super Mario Advance 4: Super Mario Bros. 3,Game Boy Advance,2003-10-21,94.0,8.9,E,['Nintendo'],"['Action', 'Platformer', '2D']"
The Legend of Zelda: Ocarina of Time 3D,Nintendo 3DS,2011-06-19,94.0,9.0,E10+,['GREZZO'],"['Miscellaneous', 'Action Adventure', 'Fantasy', 'Fantasy', 'Compilation', 'Open-World']"
Flipnote Studio,Nintendo DS,2009-08-12,93.0,7.5,,['Nintendo'],"['Miscellaneous', 'General', 'Application']"
Mario Kart Super Circuit,Game Boy Advance,2001-08-26,93.0,7.9,E,['Intelligent Systems'],"['Driving', 'Racing', 'Kart']"
Paper Mario,Nintendo 64,2001-02-05,93.0,9.0,E,['Intelligent Systems'],"['Role-Playing', 'Console-style RPG']"
Super Mario 3D World,Wii U,2013-11-22,93.0,8.9,E,['Nintendo'],"['Platformer', '3D', 'Action', 'Platformer', '3D']"
Super Smash Bros. Brawl,Wii,2008-03-09,93.0,8.8,T,['Game Arts'],"['Action', 'Fighting', 'Fighting', '3D', '2D', '3D']"
Super Smash Bros. Ultimate,Nintendo Switch,2018-12-07,93.0,8.6,E10+,"['Nintendo', ' HAL Labs', ' Bandai Namco Games', ' Sora Ltd.']","['Action', 'Fighting', '2D']"
The Legend of Zelda: Skyward Sword,Wii,2011-11-20,93.0,8.1,E10+,['Nintendo'],"['Action Adventure', 'Fantasy', 'General', 'Fantasy', 'Open-World']"
Advance Wars,Game Boy Advance,2001-09-09,92.0,8.9,E,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Modern']"
Banjo-Kazooie,Nintendo 64,1998-05-31,92.0,9.1,E,['Rare Ltd.'],"['Action', 'Platformer', '3D']"
Bayonetta 2,Nintendo Switch,2018-02-16,92.0,8.5,M,"['Nintendo', ' PlatinumGames']","['Action Adventure', 'Linear']"
Eternal Darkness: Sanity's Requiem,GameCube,2002-06-23,92.0,8.7,M,['Silicon Knights'],"['Action Adventure', 'Horror']"
Final Fantasy VI Advance,Game Boy Advance,2007-02-05,92.0,8.7,E10+,['TOSE'],"['Role-Playing', 'Console-style RPG']"
Fire Emblem: Awakening,Nintendo 3DS,2013-02-04,92.0,9.1,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Mario Kart 8 Deluxe,Nintendo Switch,2017-04-28,92.0,8.6,E,['Nintendo'],"['Other', 'Racing', 'Arcade', 'Automobile']"
Metroid Fusion,Game Boy Advance,2002-11-17,92.0,9.0,E,['Nintendo'],"['Action Adventure', 'Sci-Fi']"
Metroid Prime 2: Echoes,GameCube,2004-11-15,92.0,8.8,T,['Retro Studios'],"['Action', 'Shooter', 'First-Person', 'Sci-Fi']"
Super Mario Sunshine,GameCube,2002-08-25,92.0,8.5,E,['Nintendo'],"['Action', 'Platformer', '3D']"
Super Mario World: Super Mario Advance 2,Game Boy Advance,2002-02-09,92.0,9.0,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Smash Bros. Melee,GameCube,2001-12-02,92.0,9.1,T,['HAL Labs'],"['Action', 'Fighting', '3D']"
Super Smash Bros. for Wii U,Wii U,2014-11-21,92.0,8.9,E10+,['Bandai Namco Games'],"['Action', 'Fighting', 'Fighting', '3D', '2D', '2D', '3D']"
Wave Race 64,Nintendo 64,1996-11-01,92.0,8.3,E,['Nintendo'],"['Driving', 'Racing', 'Snow / Water']"
Xenoblade Chronicles,Wii,2012-04-06,92.0,9.2,T,['Monolith Soft'],"['Role-Playing', 'Action RPG', 'Console-style RPG', 'Action RPG']"
Bayonetta 2,Wii U,2014-09-20,91.0,8.9,M,['PlatinumGames'],"['Action Adventure', 'Fantasy', 'Fantasy', 'Linear']"
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Nintendo Switch,2019-09-27,91.0,8.6,T,['Square Enix'],"['Role-Playing', 'Japanese-Style']"
Golden Sun,Game Boy Advance,2001-11-11,91.0,9.0,E,['Camelot Software Planning'],"['Role-Playing', 'Console-style RPG']"
Mario Golf,Nintendo 64,1999-06-30,91.0,8.0,E,['Camelot Software Planning'],"['Sports', 'Traditional', 'Golf', 'Arcade']"
Mario Kart DS,Nintendo DS,2005-11-14,91.0,8.7,E,['Nintendo'],"['Driving', 'Racing', 'Arcade', 'Kart', 'Kart', 'Automobile']"
Mario Tennis,Nintendo 64,2000-08-28,91.0,8.8,E,['Camelot Software Planning'],"['Sports', 'Traditional', 'Tennis']"
Metroid Prime Trilogy,Wii,2009-08-24,91.0,9.0,T,['Retro Studios'],"['Action', 'Miscellaneous', 'Shooter', 'Compilation', 'Compilation', 'First-Person', 'Sci-Fi']"
The Legend of Zelda: A Link Between Worlds,Nintendo 3DS,2013-11-22,91.0,9.0,E,['Nintendo'],"['Action RPG', 'Role-Playing', 'Action Adventure', 'General', 'Action RPG', 'Open-World']"
The Legend of Zelda: Ocarina of Time / Master Quest,GameCube,2003-02-28,91.0,8.9,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
Yoshi's Island: Super Mario Advance 3,Game Boy Advance,2002-09-24,91.0,8.9,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Advance Wars: Dual Strike,Nintendo DS,2005-08-22,90.0,8.9,E,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Modern', 'Modern', 'Tactics']"
Animal Crossing: New Horizons,Nintendo Switch,2020-03-20,90.0,5.5,E,['Nintendo'],"['Simulation', 'Virtual', 'Virtual Life']"
Banjo-Tooie,Nintendo 64,2000-11-19,90.0,8.8,E,['Rare Ltd.'],"['Action', 'Platformer', '3D']"
Bayonetta + Bayonetta 2,Nintendo Switch,2018-02-16,90.0,8.7,M,['PlatinumGames'],"['Miscellaneous', 'Compilation']"
Blast Corps,Nintendo 64,1997-02-28,90.0,8.4,E,['Rare Ltd.'],"['Action', 'General']"
Mario & Luigi: Bowser's Inside Story,Nintendo DS,2009-09-14,90.0,8.8,E,['Alphadream Corporation'],"['Role-Playing', 'Action RPG', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Mario & Luigi: Superstar Saga,Game Boy Advance,2003-11-17,90.0,8.9,E,['Alphadream Corporation'],"['Role-Playing', 'Console-style RPG']"
Mario Kart 8 DLC Pack 2,Wii U,2015-04-23,90.0,8.9,E,['Nintendo'],"['Driving', 'Kart', 'Racing', 'Arcade', 'Automobile']"
Metroid Prime 3: Corruption,Wii,2007-08-27,90.0,8.8,T,['Retro Studios'],"['Action', 'Shooter', 'Shooter', 'First-Person', 'Sci-Fi', 'Sci-Fi', 'Arcade']"
Pikmin 2,GameCube,2004-08-30,90.0,9.0,E,['Nintendo'],"['Strategy', 'Real-Time', 'Fantasy']"
Pushmo,Nintendo 3DS,2011-12-08,90.0,8.3,E,['Intelligent Systems'],"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Action']"
Super Mario 3D Land,Nintendo 3DS,2011-11-13,90.0,8.4,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '3D', '3D']"
The Legend of Zelda: Phantom Hourglass,Nintendo DS,2007-10-01,90.0,8.0,E,['Nintendo'],"['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']"
The Legend of Zelda: The Wind Waker HD,Wii U,2013-09-20,90.0,9.0,E10+,"['Nintendo', ' HexaDrive']","['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']"
Advance Wars 2: Black Hole Rising,Game Boy Advance,2003-06-24,89.0,8.8,E,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Sci-Fi']"
F-Zero GX,GameCube,2003-08-26,89.0,8.7,T,['Amusement Vision'],"['Driving', 'Racing', 'Futuristic']"
Fire Emblem: Three Houses,Nintendo Switch,2019-07-26,89.0,8.7,T,"['Intelligent Systems', ' Koei Tecmo Games']","['Strategy', 'Turn-Based', 'Tactics']"
Metroid: Zero Mission,Game Boy Advance,2004-02-09,89.0,8.8,E,['Nintendo'],"['Action', 'Platformer', '2D']"
New Super Mario Bros.,Nintendo DS,2006-05-15,89.0,8.5,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Pikmin,GameCube,2001-12-02,89.0,8.7,E,['Nintendo'],"['Strategy', 'Real-Time', 'Fantasy']"
The Legend of Zelda: Majora's Mask 3D,Nintendo 3DS,2015-02-13,89.0,8.9,E10+,['GREZZO'],"['Fantasy', 'Action Adventure', 'Open-World']"
The Legend of Zelda: The Minish Cap,Game Boy Advance,2005-01-10,89.0,8.9,E,['Flagship'],"['Action Adventure', 'Fantasy']"
"WarioWare, Inc.: Mega Microgame$!",Game Boy Advance,2003-05-21,89.0,8.7,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'General']"
Xenoblade Chronicles: Definitive Edition,Nintendo Switch,2020-05-29,89.0,8.9,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
Animal Crossing: New Leaf,Nintendo 3DS,2013-06-09,88.0,8.7,E,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual', 'Virtual Life']"
Diddy Kong Racing,Nintendo 64,1997-11-24,88.0,8.5,E,['Rare Ltd.'],"['Driving', 'Racing', 'Kart']"
Excitebike 64,Nintendo 64,2000-04-30,88.0,8.1,E,['Left Field Productions'],"['Driving', 'Racing', 'Motorcycle', 'Motocross']"
Fire Emblem,Game Boy Advance,2003-11-03,88.0,9.1,E,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy']"
Fire Emblem Fates: Revelation,Nintendo 3DS,2016-03-10,88.0,7.4,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Fates: Special Edition,Nintendo 3DS,2016-02-19,88.0,8.1,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Mario Kart 8,Wii U,2014-05-30,88.0,8.8,E,['Nintendo'],"['Driving', 'Racing', 'Arcade', 'Kart', 'Kart', 'Automobile']"
Meteos,Nintendo DS,2005-06-28,88.0,7.4,E,['Q Entertainment'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Matching', 'Matching']"
Pokemon Y,Nintendo 3DS,2013-10-12,88.0,7.5,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Star Fox 64,Nintendo 64,1997-07-01,88.0,8.9,E,['Nintendo'],"['Action', 'Shooter', 'Rail']"
Super Mario Maker,Wii U,2015-09-11,88.0,8.7,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Mario Maker 2,Nintendo Switch,2019-06-28,88.0,8.5,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Wario Land 4,Game Boy Advance,2001-11-18,88.0,8.6,E,['Nintendo'],"['Action', 'Platformer', '2D']"
WarioWare: Twisted!,Game Boy Advance,2005-05-23,88.0,8.7,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'General']"
America's Test Kitchen: Let's Get Cooking,Nintendo DS,2010-03-28,87.0,6.3,E,['indieszero'],"['Miscellaneous', 'General', 'General']"
Animal Crossing,GameCube,2002-09-15,87.0,8.8,E,['Nintendo'],"['Miscellaneous', 'Virtual Life']"
Astral Chain,Nintendo Switch,2019-08-30,87.0,8.9,T,['PlatinumGames'],"['Action Adventure', 'General']"
Donkey Kong Country Returns,Wii,2010-11-21,87.0,8.6,E,['Retro Studios'],"['Action', 'Adventure', 'General', 'Platformer', 'Platformer', '2D', '2D']"
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo DS,2010-07-11,87.0,8.6,E10+,['Level 5'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Elite Beat Agents,Nintendo DS,2006-11-06,87.0,8.5,E10+,['iNiS'],"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']"
Final Fantasy Tactics Advance,Game Boy Advance,2003-09-08,87.0,9.1,E,['Square Enix'],"['Strategy', 'Turn-Based', 'Fantasy']"
Fire Emblem Fates: Conquest,Nintendo 3DS,2016-02-19,87.0,8.1,T,['Intelligent Systems'],"['Fantasy', 'Strategy', 'Turn-Based', 'Tactics']"
Mario Kart 8 DLC Pack 1,Wii U,2014-11-13,87.0,8.9,E,['Nintendo'],"['Driving', 'Racing', 'Arcade', 'Kart', 'Automobile']"
Mario Kart: Double Dash!!,GameCube,2003-11-17,87.0,8.6,E,['Nintendo'],"['Driving', 'Racing', 'Kart']"
New Super Mario Bros. Wii,Wii,2009-11-15,87.0,8.3,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Paper Mario: The Thousand-Year Door,GameCube,2004-10-11,87.0,9.1,E,['Intelligent Systems'],"['Role-Playing', 'Console-style RPG']"
Pikmin 3,Wii U,2013-08-04,87.0,8.7,E10+,['Nintendo'],"['Strategy', 'Real-Time', 'Fantasy', 'General', 'Fantasy']"
Pokemon Black Version,Nintendo DS,2011-03-06,87.0,7.6,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon HeartGold Version,Nintendo DS,2010-03-14,87.0,9.1,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon Moon,Nintendo 3DS,2016-11-18,87.0,7.7,E,['Game Freak'],"['Role-Playing', 'Trainer']"
Pokemon SoulSilver Version,Nintendo DS,2010-03-14,87.0,9.2,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon Sun,Nintendo 3DS,2016-11-18,87.0,7.7,E,['Game Freak'],"['Role-Playing', 'Trainer']"
Pokemon White Version,Nintendo DS,2011-03-06,87.0,7.7,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon X,Nintendo 3DS,2013-10-12,87.0,7.5,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Sin & Punishment: Star Successor,Wii,2010-06-27,87.0,8.5,T,['Treasure'],"['Action', 'General', 'Shooter', 'Shooter', 'Rail', 'Rail']"
The Legend of Zelda: Link's Awakening,Nintendo Switch,2019-09-20,87.0,8.4,E,"['Nintendo', ' GREZZO']","['Action Adventure', 'Open-World']"
The Legend of Zelda: Spirit Tracks,Nintendo DS,2009-12-07,87.0,8.0,E10+,['Nintendo'],"['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']"
Advance Wars: Days of Ruin,Nintendo DS,2008-01-21,86.0,8.7,E10+,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Modern', 'Modern', 'Tactics']"
Animal Crossing: Wild World,Nintendo DS,2005-12-05,86.0,8.6,,,
Bayonetta,Wii U,2014-10-24,86.0,8.8,M,['Bee Tribe'],"['Action', 'Fantasy', ""Beat-'Em-Up"", 'Action Adventure', 'Linear']"
Crashmo,Nintendo 3DS,2012-11-22,86.0,8.2,E,['Intelligent Systems'],"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Action']"
Donkey Kong Country: Tropical Freeze,Nintendo Switch,2018-05-04,86.0,8.6,E,['Retro Studios'],"['Action', 'Platformer', '2D']"
F-Zero: Maximum Velocity,Game Boy Advance,2001-06-12,86.0,7.7,E,['Nd Cube'],"['Driving', 'Racing', 'Futuristic']"
Fire Emblem Fates: Birthright,Nintendo 3DS,2016-02-19,86.0,8.2,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Golden Sun: The Lost Age,Game Boy Advance,2003-04-14,86.0,9.0,E,['Camelot Software Planning'],"['Role-Playing', 'Console-style RPG']"
Kirby's Epic Yarn,Wii,2010-10-17,86.0,8.5,E,['Good-Feel'],"['Adventure', 'General', 'Action', 'Platformer', 'Platformer', '2D', '2D']"
Kirby: Canvas Curse,Nintendo DS,2005-06-13,86.0,7.8,E,['HAL Labs'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Luigi's Mansion 3,Nintendo Switch,2019-10-31,86.0,8.5,E,"['Next Level Games', ' Nintendo']","['Action Adventure', 'General']"
Luigi's Mansion: Dark Moon,Nintendo 3DS,2013-03-24,86.0,8.5,E,['Next Level Games'],"['Action Adventure', 'Fantasy', 'General', 'Fantasy']"
Mario & Luigi: Partners in Time,Nintendo DS,2005-11-28,86.0,8.5,E,['Alphadream Corporation'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Picross 3D: Round 2,Nintendo 3DS,2016-09-01,86.0,7.5,E,['HAL Labs'],"['Puzzle', 'Logic']"
Planet Puzzle League,Nintendo DS,2007-06-04,86.0,7.8,E,['Intelligent Systems'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Professor Layton and the Unwound Future,Nintendo DS,2010-09-12,86.0,8.8,E10+,['Level 5'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Punch-Out!!,Wii,2009-05-18,86.0,8.6,E10+,['Next Level Games'],"['Sports', 'Traditional', 'Individual', 'Boxing', 'Boxing', 'Combat', 'Boxing / Martial Arts']"
The Legend of Zelda: Four Swords Adventures,GameCube,2004-06-07,86.0,7.6,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: Twilight Princess HD,Wii U,2016-03-04,86.0,8.5,T,"['Tantalus', ' Tantatus', ' Nintendo']","['Action Adventure', 'General', 'Open-World']"
Xenoblade Chronicles 3D,Nintendo 3DS,2015-04-10,86.0,8.8,T,['Monster Games Inc.'],"['Role-Playing', 'Action RPG']"
Bravely Default,Nintendo 3DS,2014-02-07,85.0,8.4,T,['Silicon Studio'],"['Console-style RPG', 'Role-Playing', 'Console-style RPG', 'Japanese-Style']"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Nintendo Switch,2019-06-13,85.0,8.1,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
Dragon Quest VIII: Journey of the Cursed King,Nintendo 3DS,2017-01-20,85.0,8.6,T,['Cygames'],"['Role-Playing', 'Japanese-Style']"
F-Zero X,Nintendo 64,1998-09-30,85.0,8.7,E,['Nintendo'],"['Driving', 'Racing', 'Futuristic']"
Final Fantasy IV Advance,Game Boy Advance,2005-12-12,85.0,8.4,E10+,['TOSE'],"['Role-Playing', 'Console-style RPG']"
Fire Emblem: Path of Radiance,GameCube,2005-10-17,85.0,8.9,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy']"
Fire Emblem: The Sacred Stones,Game Boy Advance,2005-05-23,85.0,8.9,E,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy']"
Maboshi's Arcade,Wii,2008-12-29,85.0,7.9,E,['Mindware'],"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Mario Kart 7,Nintendo 3DS,2011-12-04,85.0,8.2,E,"['Retro Studios', ' Entertainment Analysis & Development Division']","['Driving', 'Racing', 'Arcade', 'Kart', 'Kart', 'Automobile']"
Metroid Prime: Hunters,Nintendo DS,2006-03-20,85.0,7.9,T,"['Nintendo', ' Nintendo Software Technology']","['Action', 'Shooter', 'Shooter', 'First-Person', 'Sci-Fi', 'Sci-Fi', 'Arcade']"
Metroid: Samus Returns,Nintendo 3DS,2017-09-15,85.0,8.8,E10+,['Mercury Steam'],"['Action Adventure', 'Open-World']"
Pikmin 3 Deluxe,Nintendo Switch,2020-10-30,85.0,8.4,E10+,"['Eighting', ' Nintendo']","['Strategy', 'Real-Time', 'General']"
Pokemon Diamond Version,Nintendo DS,2007-04-22,85.0,8.3,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon Pearl Version,Nintendo DS,2007-04-22,85.0,8.2,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Professor Layton and the Curious Village,Nintendo DS,2008-02-10,85.0,8.5,E,['Level 5'],"['Miscellaneous', 'Adventure', 'Puzzle', 'Edutainment', 'General', 'Puzzle', 'General']"
Super Mario 64 DS,Nintendo DS,2004-11-20,85.0,8.3,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '3D', '3D']"
Super Paper Mario,Wii,2007-04-09,85.0,8.1,E,['Intelligent Systems'],"['Action', 'Role-Playing', 'Platformer', 'Platformer', 'Action RPG', '3D', '3D']"
Super Smash Bros. for Nintendo 3DS,Nintendo 3DS,2014-10-03,85.0,8.5,E10+,['Bandai Namco Games'],"['Fighting', '3D', '2D', 'Action', 'Fighting', '2D', '3D']"
The Legend of Zelda: Four Swords Anniversary Edition,Nintendo DS,2011-09-28,85.0,7.5,E10+,['GREZZO'],"['Action Adventure', 'Fantasy', 'General', 'Fantasy']"
Bayonetta,Nintendo Switch,2018-02-16,84.0,8.3,M,"['Nintendo', ' PlatinumGames']","['Action Adventure', 'Linear']"
Classic NES Series: Super Mario Bros.,Game Boy Advance,2004-06-02,84.0,8.5,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Classic NES Series: The Legend of Zelda,Game Boy Advance,2004-06-02,84.0,8.6,E,['Nintendo'],"['Role-Playing', 'Action RPG']"
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,Nintendo 3DS,2019-01-11,84.0,7.8,E,"['Nintendo', ' Alphadream Corporation']","['Role-Playing', 'Japanese-Style']"
Mario Golf: Advance Tour,Game Boy Advance,2004-06-22,84.0,8.8,E,['Camelot Software Planning'],"['Sports', 'Traditional', 'Golf', 'Sim']"
New Super Mario Bros. U,Wii U,2012-11-18,84.0,8.0,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Pokemon Ultra Moon,Nintendo 3DS,2017-11-17,84.0,7.7,E,['Game Freak'],"['Role-Playing', 'Trainer']"
Pokemon Ultra Sun,Nintendo 3DS,2017-11-17,84.0,7.8,E,['Game Freak'],"['Role-Playing', 'Trainer']"
Professor Layton and the Diabolical Box,Nintendo DS,2009-08-24,84.0,8.6,E10+,['Level 5'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
"Snipperclips Plus: Cut It Out, Together!",Nintendo Switch,2017-11-10,84.0,8.1,E,['SFB Games'],"['Puzzle', 'General']"
Spotto!,Nintendo DS,2010-02-15,84.0,5.8,E,['Intelligent Systems'],"['Action', 'Adventure', 'General', 'General']"
Super Mario Advance,Game Boy Advance,2001-06-10,84.0,7.3,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Tetris DS,Nintendo DS,2006-03-20,84.0,8.0,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Stacking', 'Stacking']"
Xenoblade Chronicles X,Wii U,2015-12-04,84.0,9.1,T,['Monolith Soft'],"['Action RPG', 'Role-Playing', 'Action RPG']"
Art Style: DIGIDRIVE,Nintendo DS,2009-11-16,83.0,6.8,E,['Q-Games'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'General']"
Art Style: PiCTOBiTS,Nintendo DS,2009-05-18,83.0,7.6,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Matching', 'Matching']"
BYE-BYE BOXBOY!,Nintendo 3DS,2017-04-12,83.0,7.9,E,['HAL Labs'],"['Puzzle', 'Action']"
Clubhouse Games,Nintendo DS,2006-10-09,83.0,7.8,E,['Agenda'],"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game', 'Party / Minigame']"
Donkey Kong Country Returns 3D,Nintendo 3DS,2013-05-24,83.0,8.2,E,['Monster Games Inc.'],"['Action', 'General', 'Platformer', 'Platformer', '2D', '2D']"
Donkey Kong Country: Tropical Freeze,Wii U,2014-02-21,83.0,8.9,E,['Retro Studios'],"['Platformer', '2D', 'Action', 'Platformer', '2D']"
Final Fantasy V Advance,Game Boy Advance,2006-11-06,83.0,8.2,E,['TOSE'],"['Role-Playing', 'Console-style RPG']"
Kid Icarus: Uprising,Nintendo 3DS,2012-03-23,83.0,8.7,E10+,"['Opus', ' Project Sora']","['Action Adventure', 'Fantasy', 'General', 'Fantasy']"
Kirby Mass Attack,Nintendo DS,2011-09-19,83.0,8.1,E,['HAL Labs'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Mario Kart 64,Nintendo 64,1997-02-10,83.0,8.6,E,['Nintendo'],"['Driving', 'Racing', 'Kart']"
Nintendogs: Chihuahua & Friends,Nintendo DS,2005-08-22,83.0,8.0,E,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
Nintendogs: Dachshund & Friends,Nintendo DS,2005-08-22,83.0,7.9,E,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
Nintendogs: Dalmatian & Friends,Nintendo DS,2006-10-16,83.0,7.4,E,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
Nintendogs: Lab & Friends,Nintendo DS,2005-08-22,83.0,7.6,E,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
Octopath Traveler,Nintendo Switch,2018-07-12,83.0,8.5,T,"['Square Enix', ' Acquire']","['General', 'Role-Playing', 'Japanese-Style']"
Picross 3D,Nintendo DS,2010-05-03,83.0,8.1,E,['HAL Labs'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Logic', 'Logic']"
