title,platform,release_date,meta_score,user_score,esrb_rating,developers,genres
Team Kirby Clash Deluxe,Nintendo 3DS,2017-04-12,57.0,6.6,E,"['Nintendo', ' HAL Labs']","['Action', 'Miscellaneous', 'General', 'Party / Minigame']"
3D Classics: Xevious,Nintendo 3DS,2011-07-21,56.0,5.8,E,['Arika'],"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']"
Dynasty Warriors Advance,Game Boy Advance,2005-08-29,56.0,8.5,E,['Koei'],"['Action', ""Beat-'Em-Up""]"
Eco Shooter: Plant 530,Wii,2009-12-21,56.0,,E10+,['Intelligent Systems'],"['Action', 'Adventure', 'General', 'Shooter', 'First-Person', 'Fantasy', 'Arcade']"
Lonpos,Wii,2009-02-02,56.0,,E,['Genki'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Nintendo Badge Arcade,Nintendo 3DS,2015-11-10,56.0,4.3,E,['Nintendo'],"['Miscellaneous', 'General']"
Pokemon Rumble Blast,Nintendo 3DS,2011-10-24,56.0,6.8,E10+,['Ambrella'],"['Action', 'General', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D', '3D']"
Pokemon Shuffle,Nintendo 3DS,2015-02-18,56.0,6.1,E,['Genius Sonority Inc.'],"['Puzzle', 'Matching']"
Classic NES Series: Donkey Kong,Game Boy Advance,2004-06-02,55.0,6.9,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Mario & Sonic at the Sochi 2014 Olympic Winter Games,Wii U,2013-11-15,55.0,6.2,E,"['Nintendo', ' Sega Sports R&D']","['Sports', 'Olympic Sports', 'Olympic Sports', 'Individual', 'Athletics']"
Pokemon Channel,GameCube,2003-12-01,55.0,6.2,E,['Ambrella'],"['Adventure', 'First-Person', 'Fantasy']"
Samurai Warriors 3,Wii,2010-09-28,55.0,7.4,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '3D']"
Mario Party Advance,Game Boy Advance,2005-03-28,54.0,5.1,E,['Hudson'],"['Miscellaneous', 'Party']"
Pokemon Dream Radar,Nintendo 3DS,2012-10-07,54.0,5.7,E,['Creatures Inc.'],"['Action', 'General', 'Miscellaneous', 'General', 'General']"
Pokemon Mystery Dungeon: Explorers of Sky,Nintendo DS,2009-10-12,54.0,8.9,E,['ChunSoft'],"['Role-Playing', 'General', 'Console-style RPG', 'Console-style RPG', 'Roguelike']"
Spirit Camera: The Cursed Memoir,Nintendo 3DS,2012-04-13,54.0,6.4,T,['Tecmo Koei Games'],"['Action Adventure', 'Horror', 'Horror', 'Survival']"
Classic NES Series: Pac-Man,Game Boy Advance,2004-06-02,53.0,,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'General']"
Flip Wars,Nintendo Switch,2017-07-06,53.0,6.0,T,"['OVER FENCE CO.', 'LTD.', ' Over Fence']","['Puzzle', 'General']"
Pokemon Battle Revolution,Wii,2007-06-25,53.0,6.6,E,['Genius Sonority Inc.'],"['Strategy', 'Turn-Based', 'Fantasy', 'General', 'Fantasy']"
WarioWare: Snapped!,Nintendo DS,2009-04-05,53.0,5.1,E,['Intelligent Systems'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'Party / Minigame', 'General']"
Paper Airplane Chase,Nintendo DS,2009-04-27,51.0,7.2,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Disney's Magical Mirror Starring Mickey Mouse,GameCube,2002-08-13,50.0,7.8,E,['Capcom'],"['Adventure', 'Third-Person', 'Fantasy']"
Chibi-Robo! Photo Finder,Nintendo 3DS,2014-01-09,49.0,7.7,E,['Skip Ltd.'],"['Action', 'Action Adventure', 'General', 'Fantasy']"
Pokemon Rumble U,Wii U,2013-08-29,49.0,5.2,E,['Ambrella'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D']"
FlingSmash,Wii,2010-11-07,48.0,7.3,E,['Artoon'],"['Action', 'General', 'General']"
My Pokemon Ranch,Wii,2008-06-09,47.0,5.2,E,['Ambrella'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual', 'Virtual Life']"
Animal Crossing: amiibo Festival,Wii U,2015-11-13,46.0,4.1,E,"['Nintendo', ' Nd Cube']","['Miscellaneous', 'Board / Card Game']"
Donkey Kong: Barrel Blast,Wii,2007-10-08,46.0,7.0,E,['Paon Corporation'],"['Driving', 'Racing', 'Arcade', 'Kart', 'Other', 'Kart']"
One Piece: Unlimited Cruise SP,Nintendo 3DS,2012-02-10,46.0,7.0,,['Bandai Namco Games'],"['Action', 'General']"
Pokemon Dash,Nintendo DS,2005-03-14,46.0,5.3,E,['Ambrella'],"['Driving', 'Racing', 'Arcade', 'On-foot', 'Other', 'On-foot']"
AquaSpace,Wii,2010-07-19,45.0,6.8,E,['Paon Corporation'],"['Miscellaneous', 'General', 'General']"
Devil's Third,Wii U,2015-08-28,43.0,6.7,M,['Valhalla Game Studios'],"['Action Adventure', 'General', 'Modern', 'Action', 'Shooter', 'Third-Person', 'Arcade']"
3D Classics: Urban Champion,Nintendo 3DS,2011-08-18,37.0,5.7,E10+,['Arika'],"['Action', 'Fighting', 'Fighting', '2D', '2D']"
Tenchu: Dark Secret,Nintendo DS,2006-08-21,37.0,5.8,T,"['From Software', ' Polygon Magic']","['Action Adventure', 'Historic', 'General', 'Historic']"
1080: TenEighty Snowboarding,Wii,2008-01-28,,8.3,E,['Nintendo'],"['Sports', 'Alternative', 'Snowboarding']"
3D Classics: Excitebike,Nintendo 3DS,2011-06-06,,6.6,E,['Arika'],"['Driving', 'Racing', 'Arcade', 'Motorcycle', 'Other', 'Automobile', 'Motocross', 'Motocross']"
A Kappa's Trail,Nintendo DS,2010-06-14,,7.8,E,['Brownie Brown'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
AR Games,Nintendo 3DS,2011-03-27,,7.1,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
ARMS: Global Testpunch,Nintendo Switch,2017-05-26,,,,['Nintendo'],"['Action', 'Fighting', '3D']"
ARMS: Lola Pop,Nintendo Switch,2017-09-13,,,,['Nintendo'],"['Action', 'Fighting', '3D']"
ARMS: Max Brass,Nintendo Switch,2017-07-12,,7.3,,['Nintendo'],"['Action', 'Fighting', '3D']"
ASH: Archaic Sealed Heat,Nintendo DS,,,,E10+,['Mistwalker'],"['Role-Playing', 'Strategy', 'Turn-Based', 'General', 'General', 'Fantasy', 'Tactics']"
Adventures of Lolo 2,Wii,2008-01-21,,,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Action']"
Alex Kidd in the Enchanted Castle,Wii,2007-04-11,,,E,['Sega'],"['Action', 'Platformer', '2D']"
America's Test Kitchen: Let's Get Cooking,Wii,2010-03-28,,,,,"['Miscellaneous', 'General']"
Animal Crossing Calculator,Nintendo DS,2009-05-04,,,,['Nintendo'],"['Miscellaneous', 'Edutainment', 'Application']"
Animal Crossing Clock,Nintendo DS,2009-05-04,,,,['Nintendo'],"['Miscellaneous', 'Edutainment', 'Application']"
Animal Crossing Plaza,Wii U,2013-08-07,,5.2,,['Nintendo'],"['Miscellaneous', 'General', 'Application']"
Animal Crossing: New Leaf - Welcome Amiibo,Nintendo 3DS,2016-12-05,,7.6,E,['Nintendo'],"['Simulation', 'Virtual', 'Virtual Life']"
Arcade Archives: Clu Clu Land,Nintendo Switch,2019-06-28,,,E,['Nintendo'],"['Action', 'Arcade']"
Arcade Archives: Excitebike,Nintendo Switch,2018-09-21,,,E,['Nintendo'],"['Racing', 'Arcade', 'Automobile']"
Arcade Archives: Mario Bros.,Nintendo Switch,2017-09-27,,7.0,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Arcade Archives: Pinball,Nintendo Switch,2019-08-30,,,E,['Nintendo'],"['Action', 'Pinball']"
Arcade Archives: Punch-Out!,Nintendo Switch,2018-03-30,,7.5,E10+,['Nintendo'],"['Sports', 'Individual', 'Combat', 'Boxing / Martial Arts']"
Arcade Archives: Urban Champion,Nintendo Switch,2018-11-09,,,,['Nintendo'],"['Action', 'Fighting', '2D']"
Arcade Archives: Vs. Balloon Fight,Nintendo Switch,2019-12-27,,,E,['Nintendo'],"['Action', 'Arcade']"
Arcade Archives: Vs. Ice Climber,Nintendo Switch,2019-02-22,,7.3,,['Nintendo'],"['Action', 'Platformer', '2D']"
Arcade Archives: Vs. Super Mario Bros.,Nintendo Switch,2017-12-22,,7.4,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Arcade Archives: Vs. Wrecking Crew,Nintendo Switch,2020-05-01,,,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Art Academy,Wii U,,,,,['Headstrong Games'],"['Miscellaneous', 'Edutainment']"
Art Academy: First Semester,Nintendo DS,2009-09-14,,8.0,E,['Headstrong Games'],"['Miscellaneous', 'Edutainment', 'Edutainment']"
Art Academy: Lessons for Everyone,Wii U,,,,,"['Nintendo', ' Headstrong Games']","['Miscellaneous', 'Edutainment', 'Edutainment']"
Art Academy: Second Semester,Nintendo DS,2009-09-28,,,E,['Headstrong Games'],"['Miscellaneous', 'Edutainment', 'Edutainment']"
Art Style: precipice,Nintendo DS,2009-08-03,,7.3,E,['Skip Ltd.'],"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Aura-Aura Climber,Nintendo DS,2010-02-22,,6.0,E,['Nintendo'],"['Action', 'General', 'General']"
Balloon Fight,Wii,2007-07-16,,6.2,E,['Nintendo'],"['Action', 'General']"
Baseball,Wii,2007-01-01,,,E,['Nintendo'],"['Sports', 'Traditional', 'Baseball', 'Arcade']"
Bayonetta + Bayonetta 2,Wii U,2014-10-24,,8.0,M,['PlatinumGames'],"['Miscellaneous', 'Compilation']"
Bayonetta 3,Nintendo Switch,,,,,['PlatinumGames'],"['Action Adventure', 'Linear']"
Blast Ball,Nintendo 3DS,,,,,['Nintendo'],"['Sports', 'General']"
Blazing Lazers,Wii,2007-05-21,,8.5,E,['Hudson'],"['Action', 'Shooter', 'Scrolling']"
Brain Age Express: Arts & Letters,Nintendo DS,2009-08-10,,,E,,"['Miscellaneous', 'Edutainment', 'Edutainment']"
Brain Age Express: Sudoku,Nintendo DS,2009-08-17,,,E,,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Logic', 'General']"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition,Nintendo Switch,2020-10-23,,,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 1 Character Pack,Nintendo Switch,2020-07-20,,,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
